transaction_id,product_id,quantity,total_transacion_amount,transaction_date
5c0e07a5-15e2-4684-b76d-a8bcb4faa96c,100,410,5935,1983-04-11
e09871a0-43bb-4492-ab0c-2a36bee163bf,101,340,7958,1953-04-08
3783347f-aa2c-4072-a116-9037d999a8d8,102,526,1468,2004-03-19
66f1d735-25b9-442f-bd47-68abb63a60d0,103,6,7117,1941-07-19
2dd15d77-f56f-42e5-b934-19384716a0a5,104,191,5076,1964-08-05
189b020b-d99d-4f38-992f-775e91dcc528,105,738,8414,2002-06-26
35c9b691-32aa-4a28-860f-b5150cd9244a,106,725,3666,1982-03-21
e85428ad-1abf-47bd-9940-79ddc4633c93,107,598,5550,1964-07-02
a25f1f5e-5cc4-4d11-98db-3d7fec34ad16,108,563,1650,1920-04-23
36b83244-b6d6-416a-8d10-c8df669dbbc5,109,301,5626,1924-07-18
